01_kjw	 kjw
started at 08-May-2019 11:15:06
------------
scan:2	 blk:1	 xUpCate:2	 trial:1	 onset:0.1110	 plan:0.0000	 recorded:0	 xQuad:3	 xCatch:0	 xImgID:114	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:2	 onset:1.4995	 plan:1.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:99	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:3	 onset:3.0113	 plan:3.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:144	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:4	 onset:4.5094	 plan:4.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:71	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:5	 onset:6.0118	 plan:6.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:119	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:6	 onset:7.5115	 plan:7.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:142	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:7	 onset:9.0122	 plan:9.0000	 recorded:1	 xQuad:3	 xCatch:1	 xImgID:142	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:8	 onset:10.5048	 plan:10.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:102	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:9	 onset:12.0092	 plan:12.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:104	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:10	 onset:13.5019	 plan:13.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:48	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:11	 onset:15.0068	 plan:15.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:16	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 xUpCate:2	 trial:12	 onset:16.4993	 plan:16.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:132	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:13	 onset:27.0091	 plan:27.0000	 recorded:1	 xQuad:4	 xCatch:1	 xImgID:132	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:14	 onset:28.5144	 plan:28.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:79	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:15	 onset:30.0072	 plan:30.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:140	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:16	 onset:31.5122	 plan:31.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:36	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:17	 onset:33.0152	 plan:33.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:39	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:18	 onset:34.5093	 plan:34.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:89	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:19	 onset:36.0143	 plan:36.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:72	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:20	 onset:37.5076	 plan:37.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:37	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:21	 onset:39.0123	 plan:39.0000	 recorded:1	 xQuad:4	 xCatch:1	 xImgID:37	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:22	 onset:40.5154	 plan:40.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:126	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:23	 onset:42.0099	 plan:42.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:105	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 xUpCate:2	 trial:24	 onset:43.5147	 plan:43.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:54	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:3	 xUpCate:2	 trial:25	 onset:54.0131	 plan:54.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:44	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:3	 xUpCate:2	 trial:26	 onset:55.5054	 plan:55.5000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:47	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:3	 xUpCate:2	 trial:27	 onset:57.0102	 plan:57.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:46	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:3	 xUpCate:2	 trial:28	 onset:58.5148	 plan:58.5000	 recorded:1	 xQuad:3	 xCatch:1	 xImgID:46	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:3	 xUpCate:2	 trial:29	 onset:60.0073	 plan:60.0000	 recorded:1	 xQuad:3	 xCatch:0	 xImgID:92	 response:NaN	 rt:0.0000	 accuracy:0

