01_kjw	 kjw
started at 08-May-2019 12:01:22
------------
scan:4	 blk:1	 xUpCate:1	 trial:1	 onset:0.1094	 plan:0.0000	 recorded:0	 xQuad:4	 xCatch:0	 xImgID:58	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:2	 onset:1.5088	 plan:1.5000	 recorded:1	 xQuad:4	 xCatch:1	 xImgID:58	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:3	 onset:3.0011	 plan:3.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:125	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:4	 onset:4.5063	 plan:4.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:124	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:5	 onset:6.0115	 plan:6.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:40	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:6	 onset:7.5158	 plan:7.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:25	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:7	 onset:9.0090	 plan:9.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:128	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:8	 onset:10.5136	 plan:10.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:46	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:9	 onset:12.0066	 plan:12.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:130	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:10	 onset:13.5112	 plan:13.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:23	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:11	 onset:15.0045	 plan:15.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:120	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 xUpCate:1	 trial:12	 onset:16.5085	 plan:16.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:61	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:13	 onset:27.0075	 plan:27.0000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:111	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:14	 onset:28.5110	 plan:28.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:83	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:15	 onset:30.0160	 plan:30.0000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:32	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:16	 onset:31.5200	 plan:31.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:143	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:17	 onset:33.0139	 plan:33.0000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:137	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:18	 onset:34.5189	 plan:34.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:77	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:19	 onset:36.0119	 plan:36.0000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:79	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:20	 onset:37.5167	 plan:37.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:20	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:21	 onset:39.0095	 plan:39.0000	 recorded:1	 xQuad:1	 xCatch:1	 xImgID:20	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:22	 onset:40.5135	 plan:40.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:3	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:23	 onset:42.0040	 plan:42.0000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:95	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 xUpCate:1	 trial:24	 onset:43.5122	 plan:43.5000	 recorded:1	 xQuad:1	 xCatch:0	 xImgID:131	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:25	 onset:54.0098	 plan:54.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:116	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:26	 onset:55.5142	 plan:55.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:10	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:27	 onset:57.0052	 plan:57.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:133	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:28	 onset:58.5122	 plan:58.5000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:129	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:29	 onset:60.0054	 plan:60.0000	 recorded:1	 xQuad:4	 xCatch:0	 xImgID:12	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:3	 xUpCate:1	 trial:30	 onset:61.5217	 plan:61.5000	 recorded:1	 xQuad:4	 xCatch:1	 xImgID:12	 response:NaN	 rt:0.0000	 accuracy:0

