01_kjw	 kjw
started at 08-May-2019 11:33:25
------------
scan:1	 blk:1	 trial:1	 onset:0.1061	 plan:0.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:22	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:2	 onset:1.1051	 plan:1.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:86	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:3	 onset:2.1044	 plan:2.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:62	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:4	 onset:3.1034	 plan:3.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:127	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:5	 onset:4.1035	 plan:4.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:11	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:6	 onset:5.1037	 plan:5.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:65	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:7	 onset:6.1041	 plan:6.0000	 recorded:0	 xUpCate:1	 xCatch:1	 xImgID:65	 response:1	 rt:0.4479	 accuracy:1

scan:1	 blk:1	 trial:8	 onset:7.1046	 plan:7.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:34	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:9	 onset:8.1039	 plan:8.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:82	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:10	 onset:9.1051	 plan:9.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:118	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:11	 onset:10.1100	 plan:10.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:42	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:12	 onset:11.1045	 plan:11.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:55	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:2	 trial:13	 onset:21.0060	 plan:21.0000	 recorded:1	 xUpCate:1	 xCatch:0	 xImgID:99	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:2	 trial:14	 onset:22.1068	 plan:22.0000	 recorded:0	 xUpCate:1	 xCatch:0	 xImgID:100	 response:NaN	 rt:0.0000	 accuracy:0

