01_kjw	 kjw
started at 08-May-2019 10:32:51
------------
scan:1	 blk:1	 trial:1	 onset:0.1115	 plan:0.0000	 recorded:0	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:2	 onset:1.5035	 plan:1.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:3	 onset:2.9952	 plan:3.0000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:4	 onset:4.5004	 plan:4.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:1	 response:1	 rt:0.4185	 accuracy:1

scan:1	 blk:1	 trial:5	 onset:6.0065	 plan:6.0000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:6	 onset:7.4992	 plan:7.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:1	 response:1	 rt:0.3794	 accuracy:1

scan:1	 blk:1	 trial:7	 onset:9.0030	 plan:9.0000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:8	 onset:10.5087	 plan:10.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:1	 rt:0.5544	 accuracy:0

scan:1	 blk:1	 trial:9	 onset:12.0122	 plan:12.0000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:10	 onset:13.5062	 plan:13.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:11	 onset:14.9954	 plan:15.0000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:1	 trial:12	 onset:16.5038	 plan:16.5000	 recorded:1	 xUpCond:3	 xLoCond:4	 xCatch:1	 response:1	 rt:0.4542	 accuracy:1

scan:1	 blk:2	 trial:13	 onset:26.9977	 plan:27.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:2	 trial:14	 onset:28.5062	 plan:28.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:1	 blk:2	 trial:15	 onset:29.9988	 plan:30.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

